Year,Income Source,Sex,Region,Ethnic Group,Measure,Value,Flags
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,857,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,884,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,900,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,940,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,1008,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,1020,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,1086,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,1199,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),247.6,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),266.3,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),268.9,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),281.8,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),294.7,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),324.1,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),322.8,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),324,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),330.5,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),352.1,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Maori,Number of People (000),361.5,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,300,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,291,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,302,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,302,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,304,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,311,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,334,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,355,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,360,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,386,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Average Weekly Income,440,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,286,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,285,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,290,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,298,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,291,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,300,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,333,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,342,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,350,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,381,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Median Weekly Income,411,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),192.8,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),187.2,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),197.2,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),180.7,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),184.8,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),174.6,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),198.3,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),199.8,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),198.7,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),197.7,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Maori,Number of People (000),207.5,
2013,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,580,
2014,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,615,
2015,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,624,
2016,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,648,
2017,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,676,
2018,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,719,
2019,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,736,
2020,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,762,
2021,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,809,
2022,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,885,
2023,All sources collected,Total Both Sexes,Total Regions,Maori,Average Weekly Income,980,
2013,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,476,
2014,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,500,
2015,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,507,
2016,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,510,
2017,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,518,
2018,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,615,
2019,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,643,
2020,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,624,
2021,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,686,
2022,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,777,
2023,All sources collected,Total Both Sexes,Total Regions,Maori,Median Weekly Income,859,
2013,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),486.9,
2014,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),496.2,
2015,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),508.9,
2016,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),524.9,
2017,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),540.3,
2018,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),554,
2019,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),567.7,
2020,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),584.7,
2021,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),601.6,
2022,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),616.2,
2023,All sources collected,Total Both Sexes,Total Regions,Maori,Number of People (000),631,
2013,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,794,
2014,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,646,
2015,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,768,
2016,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,1000,
2017,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,614,
2018,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,911,
2019,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,946,
2020,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,886,
2021,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,1440,
2022,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,870,
2023,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,1048,
2013,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,671,
2014,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,575,
2015,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,690,
2016,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,806,
2017,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,575,
2018,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,575,
2019,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,671,
2020,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,750,
2021,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,671,
2022,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,575,
2023,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,671,
2013,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),2.2,
2014,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),4.5,
2015,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),4.4,
2016,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),9.4,
2017,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),6.5,
2018,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),10.3,
2019,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),8.5,
2020,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),12.1,
2021,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),12,
2022,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),14.6,
2023,Self-employment Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),12.6,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,765,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,821,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,827,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,875,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,880,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,968,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,976,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,1013,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,1040,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,1157,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,1245,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,712,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,740,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,767,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,793,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,820,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,878,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,921,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,959,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,959,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,1074,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,1151,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),88.1,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),104.6,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),112.6,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),124.8,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),133.6,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),144.1,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),141.9,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),142,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),162.6,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),164.5,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),165.3,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,275,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,266,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,276,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,281,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,283,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,291,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,307,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,331,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,336,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,370,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,423,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,260,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,250,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,262,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,277,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,279,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,279,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,291,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,335,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,335,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,360,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,403,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),71.5,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),69.1,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),73.2,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),65.2,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),71.5,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),73.8,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),76.9,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),75.8,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),80.5,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),73.8,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),74.3,
2013,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,479,
2014,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,543,
2015,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,559,
2016,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,602,
2017,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,587,
2018,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,657,
2019,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,671,
2020,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,662,
2021,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,732,
2022,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,817,
2023,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Average Weekly Income,898,
2013,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,380,
2014,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,450,
2015,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,484,
2016,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,550,
2017,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,510,
2018,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,595,
2019,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,643,
2020,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,567,
2021,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,670,
2022,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,834,
2023,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Median Weekly Income,880,
2013,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),186.1,
2014,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),197.7,
2015,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),208.6,
2016,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),224.2,
2017,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),236.1,
2018,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),253.7,
2019,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),249.5,
2020,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),258,
2021,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),284.5,
2022,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),274.5,
2023,All sources collected,Total Both Sexes,Total Regions,Pacific Peoples,Number of People (000),272.2,
2013,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,643,
2014,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,728,
2015,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,844,
2016,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,886,
2017,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,877,
2018,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,968,
2019,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,931,
2020,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,786,
2021,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1158,
2022,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1131,
2023,Self-employment Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1188,
2013,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,575,
2014,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,538,
2015,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,623,
2016,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,690,
2017,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,671,
2018,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,671,
2019,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,671,
2020,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,575,
2021,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,767,
2022,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,767,
2023,Self-employment Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,900,
2013,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),36.3,
2014,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),31.7,
2015,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),36.3,
2016,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),51.4,
2017,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),56.8,
2018,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),63.3,
2019,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),70.4,
2020,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),76.5,
2021,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),82.1,
2022,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),80,
2023,Self-employment Income,Total Both Sexes,Total Regions,Asian,Number of People (000),91.5,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,856,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,877,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,915,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,953,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1007,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1028,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1060,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1102,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1151,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1258,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,1352,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,767,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,790,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,812,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,863,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,880,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,928,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,959,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,1016,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,1050,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,1151,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,1231,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),226.1,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),236.1,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),235.9,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),255.3,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),286.2,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),318.2,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),351.9,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),359.6,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),373.3,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),397.9,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Asian,Number of People (000),437.2,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,238,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,233,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,238,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,250,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,251,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,270,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,265,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,300,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,310,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,321,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Average Weekly Income,361,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,220,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,230,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,234,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,230,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,239,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,283,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,284,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,316,
2021,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,329,
2022,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,338,
2023,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Median Weekly Income,380,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),95.6,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),91.7,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),85.8,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),77.8,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),81.8,
2018,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),88.4,
2019,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),92.5,
2020,Government Transfer Income,Total Both Sexes,Total Regions,Asian,Number of People (000),101.3,
